,Sender,count,enrichment/depletion
0,B cells,34,-0.007744494549095368
1,Basophils,1,-0.4163792298397067
2,Capsule fibroblasts,3,-2.541248025374887
3,Central Vein Endothelial cells,3,-1.809497408108879
4,Cholangiocytes,14,-7.220679564005117
5,Fibroblast,0,-5.7847587378899386
6,Hepatocytes_central,1264,10.279695500746143
7,Hepatocytes_portal,721,-2.7447610120841293
8,ILC1s,8,-2.3467165039714963
9,KCs,124,-1.7797085615460921
10,LSECs_central,151,2.1652012393711644
11,LSECs_portal,294,3.910177386998477
12,Lymphatic Endothelial cells,18,-1.7551757980099254
13,Mesothelial cells,0,-2.1039222647304
14,Mig. cDCs,0,-1.3097713647710811
15,MoMac1,0,-1.4371141975336177
16,MoMac2,0,-0.7431203829658163
17,Monocytes,2,-1.2462818256670924
18,NK cells,1,-0.41069787683860026
19,Neutrophils,15,-1.4965481352898573
20,Portain Vein Endothelial cells,9,-6.259837424685942
21,Stellate cells,0,-1.419369909930616
22,Stellate cells_central,18,0.007559505449140125
23,Stellate cells_portal,191,4.880128812933068
24,T cells,26,-1.9059152888340836
25,VSMCs,3,-5.755859355115884
26,cDC1s,2,-1.7571570257269045
27,cDC2s,0,-1.7720515932812158
28,pDCs,3,-0.27925959485493174
